ORIGIN,DEST,TOTAL_DB1B_PASSENGERS,TOTAL_FARE_WEIGHT,DB1B_RECORDS,AVG_FARE
ABI,CAE,4.0,3041.0,4,760.25
ABI,CAK,2.0,624.5,2,312.25
ABI,CHA,3.0,1096.5,3,365.5
ABI,CHO,1.0,188.0,1,188.0
ABI,CHS,5.0,2284.29,5,456.858
ABI,CID,3.0,1023.0,3,341.0
ABI,CLE,4.0,1586.71,4,396.6775
ABI,CLL,1.0,234.0,1,234.0
ABI,CLT,21.0,8070.27,21,384.29857142857145
ABI,CMH,3.0,927.5,3,309.1666666666667
ABI,COS,13.0,4804.0,13,369.53846153846155
ABI,COU,1.0,278.5,1,278.5
ABI,CRP,5.0,2108.33,5,421.666
ABI,CVG,6.0,1557.5,6,259.5833333333333
ABI,DAY,6.0,2352.0,6,392.0
ABI,DCA,19.0,7297.76,17,384.09263157894736
ABI,DEN,27.0,8201.09,23,303.7440740740741
ABI,DFW,51.0,10070.86,38,197.4678431372549
ABI,DRO,3.0,1132.0,3,377.3333333333333
ABI,DSM,8.0,3067.5,8,383.4375
ABI,ECP,3.0,1117.0,2,372.3333333333333
ABI,EGE,6.0,2336.5,6,389.4166666666667
ABI,ELP,12.0,3963.5,8,330.2916666666667
ABI,EVV,1.0,407.0,1,407.0
ABI,EWN,1.0,457.5,1,457.5
ABI,EWR,5.0,1947.07,5,389.414
ABI,EYW,2.0,776.0,2,388.0
ABI,FAI,4.0,2404.5,4,601.125
ABI,FAR,4.0,1917.0,3,479.25
ABI,FAT,4.0,1481.0,4,370.25
ABI,FAY,2.0,905.1600000000001,2,452.58000000000004
ABI,FLL,12.0,3742.6,11,311.8833333333333
ABI,FSD,2.0,508.0,2,254.0
ABI,FWA,1.0,282.5,1,282.5
ABI,GEG,1.0,302.5,1,302.5
ABI,GGG,1.0,392.0,1,392.0
ABI,GJT,7.0,1908.0,7,272.57142857142856
ABI,GNV,2.0,1104.4299999999998,2,552.2149999999999
ABI,GPT,7.0,2425.5,5,346.5
ABI,GRR,2.0,871.5,2,435.75
ABI,GSO,2.0,711.5,2,355.75
ABI,GSP,6.0,1925.5,6,320.9166666666667
ABI,HNL,5.0,3381.1400000000003,5,676.2280000000001
ABI,HOU,12.0,2951.3,12,245.9416666666667
ABI,HRL,5.0,1690.5,5,338.1
ABI,HSV,3.0,849.0,3,283.0
ABI,IAD,5.0,1532.0,5,306.4
ABI,IAH,20.0,5515.5,20,275.775
ABI,ICT,2.0,738.0,2,369.0
ABI,IND,7.0,2817.5,6,402.5
ABI,JAC,3.0,311.0,3,103.66666666666667
ABI,JAN,1.0,574.0,1,574.0
ABI,JAX,5.0,1163.0,5,232.6
ABI,JFK,4.0,887.52,4,221.88
ABI,KOA,1.0,642.05,1,642.05
ABI,LAN,1.0,603.5,1,603.5
ABI,LAS,51.0,18759.21,43,367.8276470588235
ABI,LAX,24.0,8047.55,22,335.31458333333336
ABI,LCH,3.0,547.0,3,182.33333333333334
ABI,LEX,4.0,2231.5,4,557.875
ABI,LFT,3.0,571.0,3,190.33333333333334
ABI,LGA,12.0,2390.09,12,199.17416666666668
ABI,LIT,6.0,1568.0900000000001,6,261.34833333333336
ABI,LYH,1.0,391.0,1,391.0
ABI,MCI,9.0,3445.45,9,382.8277777777778
ABI,MCO,31.0,11096.05,27,357.93709677419355
ABI,MDT,1.0,243.0,1,243.0
ABI,MEM,4.0,989.5,4,247.375
ABI,MFE,8.0,1949.5,6,243.6875
ABI,MGM,5.0,1937.5,5,387.5
ABI,MIA,8.0,2358.75,8,294.84375
ABI,MLI,1.0,384.0,1,384.0
ABI,MOB,1.0,214.0,1,214.0
ABI,MRY,2.0,324.0,2,162.0
ABI,MSN,1.0,259.0,1,259.0
ABI,MSP,6.0,2607.5,6,434.5833333333333
ABI,MSY,16.0,4482.5,16,280.15625
ABI,MTJ,2.0,695.0,2,347.5
ABI,OGG,7.0,2549.33,6,364.19
ABI,OKC,1.0,368.5,1,368.5
ABI,OMA,3.0,1158.0,3,386.0
ABI,ONT,6.0,2389.0299999999997,6,398.1716666666666
ABI,ORD,14.0,4343.68,13,310.2628571428572
ABI,ORF,8.0,2832.0299999999997,8,354.00374999999997
ABI,PBG,1.0,368.5,1,368.5
ABI,PBI,7.0,2248.5,7,321.2142857142857
ABI,PDX,10.0,6221.5,10,622.15
ABI,PHL,13.0,4379.65,13,336.8961538461538
ABI,PHX,34.0,12228.41,27,359.6591176470588
ABI,PIT,8.0,3246.5,7,405.8125
ABI,PNS,10.0,3668.5,9,366.85
ABI,PSC,1.0,794.0,1,794.0
ABI,PSP,3.0,1699.0,3,566.3333333333334
ABI,PWM,1.0,164.0,1,164.0
ABI,RAP,5.0,1982.5,5,396.5
