MARKET_COUPONS,YEAR,QUARTER,ORIGIN,DEST,REPORTING_CARRIER,TICKET_CARRIER,OPERATING_CARRIER,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,NONSTOP_MILES
2,2023,1,XNA,MYR,MQ,AA,99,1.0,5.5,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,99,1.0,5.5,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,5.5,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,99,1.0,5.5,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,156.0,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,99,1.0,156.0,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,376.5,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,99,1.0,376.5,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,534.5,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,AA,1.0,534.5,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,595.5,911.0,890.0
2,2023,1,MYR,XNA,MQ,AA,99,1.0,595.5,911.0,890.0
2,2023,1,XNA,OAJ,MQ,AA,99,1.0,544.96,945.0,945.0
1,2023,1,OAJ,CLT,MQ,AA,PT,1.0,110.15,191.0,191.0
1,2023,1,CLT,MYR,MQ,AA,OH,1.0,90.54,157.0,157.0
2,2023,1,MYR,XNA,MQ,AA,OH,1.0,525.35,911.0,890.0
2,2023,1,XNA,OAJ,MQ,AA,99,1.0,437.5,945.0,945.0
2,2023,1,OAJ,XNA,MQ,AA,99,1.0,437.5,945.0,945.0
2,2023,1,XNA,OAJ,MQ,AA,99,1.0,503.0,945.0,945.0
2,2023,1,OAJ,XNA,MQ,AA,99,1.0,503.0,945.0,945.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,112.6,754.0,754.0
2,2023,1,CLT,XNA,MQ,AA,99,1.0,167.4,1121.0,754.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,222.38,754.0,754.0
2,2023,1,CLT,XNA,MQ,AA,99,1.0,330.62,1121.0,754.0
2,2023,1,XNA,ORF,MQ,AA,99,1.0,302.0,1044.0,1006.0
2,2023,1,ORF,XNA,MQ,AA,99,1.0,302.0,1044.0,1006.0
2,2023,1,XNA,ORF,MQ,AA,99,1.0,441.5,1044.0,1006.0
2,2023,1,ORF,XNA,MQ,AA,99,1.0,441.5,1044.0,1006.0
2,2023,1,XNA,ORF,MQ,AA,99,1.0,393.99,1044.0,1006.0
