ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE,SPILLED_PAX_ERJ145,SPILLED_PAX_ERJ170,SPILLED_PAX_ERJ175,SPILL_COST_ERJ145,SPILL_COST_ERJ170,SPILL_COST_ERJ175
CMH,ORD,128.0,6719.0,52.4921875,203.76254344391785,2.4921875,0.0,0.0,507.814463739139,0.0,0.0
CMI,DFW,57.0,2650.0,46.49122807017544,267.6708609271523,0.0,0.0,0.0,0.0,0.0,0.0
CMI,ORD,56.0,2133.0,38.08928571428572,223.89,0.0,0.0,0.0,0.0,0.0,0.0
COS,DFW,15.0,913.0,60.86666666666667,232.343661971831,10.866666666666667,0.0,0.0,2524.801126760564,0.0,0.0
COU,DFW,65.0,3986.0,61.323076923076925,213.41308219178083,11.323076923076925,0.0,0.0,2416.492746048473,0.0,0.0
COU,ORD,19.0,813.0,42.78947368421053,204.8116574585636,0.0,0.0,0.0,0.0,0.0,0.0
CRP,DFW,70.0,4160.0,59.42857142857143,266.07100591715977,9.42857142857143,0.0,0.0,2508.6694843617925,0.0,0.0
CVG,AUS,31.0,1563.0,50.41935483870968,164.20884337349398,0.4193548387096797,0.0,0.0,68.86177302759462,0.0,0.0
CVG,BOS,12.0,408.0,34.0,251.2508076923077,0.0,0.0,0.0,0.0,0.0,0.0
CVG,CMH,1.0,54.0,54.0,,4.0,0.0,0.0,,,
CVG,DCA,15.0,710.0,47.333333333333336,157.62974683544303,0.0,0.0,0.0,0.0,0.0,0.0
CVG,MIA,62.0,3939.0,63.53225806451613,292.258036809816,13.532258064516128,0.0,0.0,3954.911175539284,0.0,0.0
CVG,ORD,68.0,3157.0,46.4264705882353,183.0998701298701,0.0,0.0,0.0,0.0,0.0,0.0
CWA,ORD,57.0,2586.0,45.36842105263158,252.7956,0.0,0.0,0.0,0.0,0.0,0.0
