ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
IND,MIA,30.0,1795.0,59.833333333333336,283.8183274021352
IND,ORD,52.0,2580.0,49.61538461538461,237.88965753424657
JAN,DFW,69.0,4273.0,61.927536231884055,267.472693877551
JAN,GPT,1.0,48.0,48.0,
JAX,HHH,1.0,67.0,67.0,
JAX,MIA,128.0,6394.0,49.953125,261.85684615384616
JAX,ORD,3.0,219.0,73.0,259.99583333333334
LAN,ORD,47.0,1655.0,35.212765957446805,273.46875
LBB,DFW,66.0,3428.0,51.93939393939394,212.28232673267323
LBB,PHX,31.0,1678.0,54.12903225806452,272.6146
LCH,DFW,9.0,415.0,46.11111111111112,190.25934065934064
LEX,CMI,1.0,17.0,17.0,394.0
LEX,DFW,77.0,3864.0,50.18181818181818,349.865
LEX,ORD,57.0,1889.0,33.14035087719298,164.30439153439153
LFT,DFW,84.0,4436.0,52.80952380952381,250.93886699507388
LIT,DCA,30.0,1135.0,37.833333333333336,271.1667041198502
LIT,DFW,103.0,6640.0,64.46601941747574,212.31176470588235
LIT,MIA,1.0,57.0,57.0,311.8831818181818
LIT,ORD,67.0,2520.0,37.61194029850746,237.21236526946103
LRD,CRP,1.0,76.0,76.0,
LSE,ORD,19.0,856.0,45.05263157894737,217.08973684210525
MAF,DFW,88.0,5484.0,62.31818181818182,233.9435457063712
MAF,PHX,21.0,1044.0,49.71428571428572,277.4425
MCI,AUS,25.0,1276.0,51.04,176.04125
MCI,CMI,1.0,42.0,42.0,318.7341666666667
MCI,ORD,64.0,3600.0,56.25,203.3317127071823
MEM,AUS,17.0,295.0,17.352941176470587,194.04743697478992
MEM,BOS,7.0,305.0,43.57142857142857,350.50839999999994
MEM,CLT,15.0,746.0,49.73333333333333,244.47968253968253
MEM,ORD,79.0,2873.0,36.36708860759494,201.88630350194552
MGM,DFW,58.0,3379.0,58.25862068965517,295.65330508474574
MHK,DFW,65.0,3780.0,58.15384615384615,208.22496062992127
MHK,ORD,58.0,1785.0,30.77586206896552,227.44715686274512
MIA,ATL,29.0,1947.0,67.13793103448276,213.25953846153848
MIA,AUS,57.0,3834.0,67.26315789473684,306.8696296296296
MIA,BHM,31.0,1882.0,60.70967741935484,335.7208865248227
MIA,BNA,33.0,2378.0,72.06060606060606,254.700112
MIA,BWI,1.0,69.0,69.0,361.0
MIA,CHS,57.0,3989.0,69.98245614035088,232.4027766179541
MIA,CMH,62.0,4261.0,68.7258064516129,322.78643185298625
MIA,CVG,61.0,4093.0,67.09836065573771,302.10386649874056
MIA,DSM,4.0,259.0,64.75,275.47395348837205
MIA,EYW,97.0,4206.0,43.36082474226804,233.9837168141593
MIA,GNV,30.0,1510.0,50.333333333333336,235.83443609022555
MIA,GRR,4.0,284.0,71.0,251.2596428571429
MIA,GSO,31.0,1926.0,62.12903225806452,318.7234
MIA,GSP,31.0,1874.0,60.45161290322581,297.0683251231527
MIA,HOU,1.0,74.0,74.0,358.42
MIA,HPN,22.0,1091.0,49.59090909090909,183.24322834645668
MIA,IAH,50.0,3584.0,71.68,276.73423529411764
MIA,IND,29.0,2104.0,72.55172413793103,311.3850370370371
MIA,JAX,127.0,7664.0,60.346456692913385,281.2192271662764
MIA,LIT,1.0,71.0,71.0,291.438
MIA,MSN,4.0,273.0,68.25,273.63265625
MIA,MSY,25.0,1862.0,74.48,317.0983947939262
MIA,PNS,80.0,4725.0,59.0625,272.4353475935829
MIA,PVD,3.0,183.0,61.0,134.454
MIA,RDU,32.0,2285.0,71.40625,235.27111368909516
MIA,ROC,4.0,271.0,67.75,302.1025806451613
MIA,SAV,46.0,2492.0,54.17391304347826,262.17990543735226
MIA,SYR,1.0,73.0,73.0,311.8104347826087
