ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT
MIA,PVD,3.0,183.0,61.0
MIA,RDU,32.0,2285.0,71.40625
MIA,ROC,4.0,271.0,67.75
MIA,SAV,46.0,2492.0,54.17391304347826
MIA,SYR,1.0,73.0,73.0
MIA,TLH,91.0,4732.0,52.0
MIA,TPA,22.0,1365.0,62.04545454545455
MIA,TYS,31.0,1969.0,63.516129032258064
MIA,XNA,29.0,1527.0,52.6551724137931
MKE,ORD,36.0,1752.0,48.666666666666664
MLI,AZO,1.0,37.0,37.0
MLI,DFW,19.0,1141.0,60.05263157894737
MLI,ORD,49.0,1887.0,38.51020408163265
MOB,DFW,58.0,2959.0,51.01724137931034
MQT,ORD,35.0,1462.0,41.77142857142857
MRY,DFW,60.0,3216.0,53.6
MRY,PHX,50.0,2946.0,58.92
MSN,CLT,6.0,155.0,25.833333333333332
MSN,DFW,8.0,503.0,62.875
MSN,MIA,4.0,293.0,73.25
MSN,ORD,85.0,4573.0,53.8
MSN,PHX,1.0,52.0,52.0
MSO,DFW,22.0,1360.0,61.81818181818182
MSP,DCA,1.0,69.0,69.0
MSP,ORD,53.0,2623.0,49.490566037735846
MSY,AUS,82.0,3731.0,45.5
MSY,MIA,25.0,1778.0,71.12
MSY,ORD,19.0,1051.0,55.31578947368421
MYR,DFW,2.0,134.0,67.0
OKC,AUS,37.0,932.0,25.18918918918919
OKC,DFW,13.0,527.0,40.53846153846154
OKC,ORD,64.0,2738.0,42.78125
OKC,SPI,1.0,38.0,38.0
OMA,FSD,1.0,61.0,61.0
OMA,ORD,36.0,1961.0,54.47222222222222
ORD,ABE,9.0,286.0,31.77777777777778
ORD,ALB,18.0,932.0,51.77777777777778
ORD,ALO,37.0,500.0,13.513513513513514
ORD,ATL,37.0,2227.0,60.189189189189186
ORD,ATW,49.0,2277.0,46.46938775510204
ORD,AUS,57.0,3067.0,53.80701754385965
ORD,AVP,9.0,365.0,40.55555555555556
ORD,AZO,48.0,2064.0,43.0
ORD,BDL,28.0,1657.0,59.17857142857143
ORD,BHM,30.0,1018.0,33.93333333333333
ORD,BMI,47.0,1452.0,30.893617021276597
ORD,BNA,57.0,3201.0,56.1578947368421
ORD,BOS,39.0,2289.0,58.69230769230769
ORD,BUF,26.0,1185.0,45.57692307692308
ORD,BWI,51.0,2470.0,48.431372549019606
ORD,BZN,22.0,1174.0,53.36363636363637
ORD,CID,76.0,3277.0,43.11842105263158
ORD,CLE,69.0,2277.0,33.0
ORD,CLT,1.0,46.0,46.0
ORD,CMH,128.0,6091.0,47.5859375
ORD,CMI,55.0,2190.0,39.81818181818182
ORD,COU,18.0,659.0,36.611111111111114
ORD,CVG,69.0,3203.0,46.42028985507246
ORD,CWA,58.0,2048.0,35.310344827586206
ORD,DAY,66.0,2306.0,34.93939393939394
ORD,DFW,1.0,0.0,0.0
ORD,DSM,56.0,2638.0,47.107142857142854
ORD,DTW,47.0,1615.0,34.361702127659576
ORD,EWR,9.0,528.0,58.666666666666664
ORD,EYW,9.0,614.0,68.22222222222223
ORD,FAR,68.0,2717.0,39.955882352941174
ORD,FNT,58.0,2183.0,37.63793103448276
ORD,FSD,71.0,2796.0,39.38028169014085
ORD,FWA,9.0,303.0,33.666666666666664
ORD,GRB,54.0,2340.0,43.333333333333336
ORD,GRR,79.0,3786.0,47.924050632911396
ORD,GSO,60.0,1868.0,31.133333333333333
ORD,GSP,28.0,989.0,35.32142857142857
ORD,HPN,59.0,2233.0,37.847457627118644
ORD,HSV,8.0,249.0,31.125
ORD,IAH,32.0,1892.0,59.125
ORD,ICT,68.0,2698.0,39.6764705882353
ORD,IND,52.0,2940.0,56.53846153846154
ORD,JAX,3.0,201.0,67.0
ORD,LAN,48.0,1773.0,36.9375
ORD,LEX,59.0,2104.0,35.66101694915254
ORD,LIT,68.0,2638.0,38.794117647058826
ORD,LSE,18.0,603.0,33.5
ORD,MCI,65.0,3392.0,52.184615384615384
ORD,MEM,79.0,3059.0,38.721518987341774
ORD,MHK,57.0,2130.0,37.36842105263158
ORD,MKE,35.0,1470.0,42.0
ORD,MLI,50.0,1639.0,32.78
ORD,MQT,35.0,1027.0,29.34285714285714
ORD,MSN,86.0,3790.0,44.06976744186046
ORD,MSP,53.0,2448.0,46.18867924528302
ORD,MSY,19.0,1074.0,56.526315789473685
ORD,OKC,66.0,2867.0,43.43939393939394
ORD,OMA,35.0,1624.0,46.4
ORD,ORF,40.0,1860.0,46.5
ORD,PIA,49.0,1372.0,28.0
ORD,PIT,13.0,507.0,39.0
ORD,PVD,36.0,1457.0,40.47222222222222
ORD,RDU,46.0,2021.0,43.93478260869565
ORD,RIC,22.0,987.0,44.86363636363637
ORD,ROC,41.0,2168.0,52.8780487804878
ORD,RST,66.0,2505.0,37.95454545454545
ORD,SDF,45.0,1730.0,38.44444444444444
ORD,SGF,78.0,2564.0,32.87179487179487
ORD,SLC,1.0,68.0,68.0
ORD,SRQ,1.0,73.0,73.0
ORD,STL,67.0,3685.0,55.0
ORD,SYR,24.0,1453.0,60.541666666666664
ORD,TUL,24.0,1409.0,58.708333333333336
ORD,TVC,66.0,2223.0,33.68181818181818
ORD,TYS,48.0,1810.0,37.708333333333336
ORD,XNA,67.0,2650.0,39.55223880597015
ORF,ORD,40.0,1799.0,44.975
PHX,ABQ,1.0,70.0,70.0
PHX,BFL,31.0,1695.0,54.67741935483871
PHX,BIL,2.0,92.0,46.0
PHX,FAR,22.0,1243.0,56.5
PHX,GJT,30.0,1157.0,38.56666666666667
PHX,LBB,30.0,1422.0,47.4
PHX,MAF,22.0,967.0,43.95454545454545
PHX,MRY,51.0,2748.0,53.88235294117647
PHX,SAF,20.0,1058.0,52.9
PHX,SBA,7.0,463.0,66.14285714285714
PHX,SBP,49.0,2589.0,52.83673469387755
PHX,STS,21.0,1279.0,60.904761904761905
PHX,TUL,22.0,1410.0,64.0909090909091
PHX,TUS,43.0,2762.0,64.23255813953489
PIA,DFW,21.0,1327.0,63.19047619047619
PIA,ORD,49.0,1678.0,34.244897959183675
PIT,DCA,1.0,56.0,56.0
PIT,ORD,13.0,780.0,60.0
PNS,DFW,20.0,1214.0,60.7
PNS,MIA,80.0,4179.0,52.2375
PSP,AUS,30.0,1542.0,51.4
PVD,MIA,3.0,154.0,51.333333333333336
PVD,ORD,35.0,1416.0,40.457142857142856
RAP,DFW,61.0,3979.0,65.22950819672131
RDU,AUS,55.0,2934.0,53.345454545454544
RDU,DFW,1.0,58.0,58.0
RDU,MIA,31.0,2074.0,66.90322580645162
RDU,ORD,45.0,2253.0,50.06666666666667
RDU,TPA,9.0,276.0,30.666666666666668
RIC,ORD,21.0,701.0,33.38095238095238
RNO,AUS,39.0,1632.0,41.84615384615385
ROC,MIA,4.0,253.0,63.25
ROC,ORD,41.0,2341.0,57.09756097560975
RST,ORD,66.0,2935.0,44.46969696969697
SAF,PHX,21.0,719.0,34.23809523809524
SAV,CHS,1.0,66.0,66.0
SAV,CLT,10.0,537.0,53.7
SAV,MIA,45.0,2597.0,57.71111111111111
SBA,PHX,7.0,214.0,30.571428571428573
SBP,PHX,49.0,2311.0,47.16326530612245
SDF,BOS,7.0,276.0,39.42857142857143
SDF,DCA,6.0,382.0,63.666666666666664
SDF,DFW,34.0,2158.0,63.470588235294116
SDF,ORD,45.0,2071.0,46.022222222222226
SGF,CHA,1.0,54.0,54.0
SGF,CLT,66.0,3485.0,52.803030303030305
