FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,ORIGIN_TIMEZONE,DEST_TIMEZONE,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,OVERNIGHT_CORRECTION,REFERENCE_ELAPSED_MIN,ELAPSED_DIFF_MIN,DEP_REFERENCE_15MIN,ARR_REFERENCE_15MIN,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,FAA_N_NUMBER,N-NUMBER,MFR MDL CODE,CODE,MFR,MODEL,AIRCRAFT_TYPE
2023-01-01,MQ,N278NN,3340,COU,DFW,700,703.0,853,842.0,0.0,0.0,113.0,99.0,74.0,490.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 08:53:00-06:00,False,113.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 08:45:00-06:00,28,35,278NN,278NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N622AE,3529,EVV,DFW,700,858.0,934,1109.0,0.0,0.0,154.0,131.0,100.0,642.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 09:34:00-06:00,False,154.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:30:00-06:00,28,38,622AE,622AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N679AE,4016,FNT,ORD,700,656.0,730,659.0,0.0,0.0,90.0,63.0,45.0,223.0,America/New_York,America/Chicago,2023-01-01 06:00:00-06:00,2023-01-01 07:30:00-06:00,False,90.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 07:30:00-06:00,24,30,679AE,679AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N220NN,3383,GRB,ORD,700,654.0,806,801.0,0.0,0.0,66.0,67.0,46.0,173.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 08:06:00-06:00,False,66.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 08:00:00-06:00,28,32,220NN,220NN,3260410,3260410,EMBRAER,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N298FR,3640,GSO,MIA,700,650.0,910,854.0,0.0,0.0,130.0,124.0,104.0,710.0,America/New_York,America/New_York,2023-01-01 06:00:00-06:00,2023-01-01 08:10:00-06:00,False,130.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 08:00:00-06:00,24,32,298FR,298FR,3260988,3260988,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N222NS,3374,MGM,DFW,700,,917,,1.0,0.0,137.0,,,622.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 09:17:00-06:00,False,137.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:15:00-06:00,28,37,222NS,222NS,3260410,3260410,EMBRAER,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N237NN,3741,MSN,ORD,700,657.0,807,758.0,0.0,0.0,67.0,61.0,37.0,108.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 08:07:00-06:00,False,67.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 08:00:00-06:00,28,32,237NN,237NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N928AE,4210,MSP,ORD,700,653.0,844,811.0,0.0,0.0,104.0,78.0,52.0,334.0,America/Chicago,America/Chicago,2023-01-01 07:00:00-06:00,2023-01-01 08:44:00-06:00,False,104.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 08:30:00-06:00,28,34,928AE,928AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N246NN,3372,ECP,DFW,705,701.0,930,925.0,0.0,0.0,145.0,144.0,109.0,685.0,America/Chicago,America/Chicago,2023-01-01 07:05:00-06:00,2023-01-01 09:30:00-06:00,False,145.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:30:00-06:00,28,38,246NN,246NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N209NN,3662,JAX,MIA,710,709.0,827,823.0,0.0,0.0,77.0,74.0,55.0,335.0,America/New_York,America/New_York,2023-01-01 06:10:00-06:00,2023-01-01 07:27:00-06:00,False,77.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 07:15:00-06:00,24,29,209NN,209NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
