PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
52402.00,,3007.51,5675.93,,,120237.73,,38.38,,,10697.42,,4293.72,3076.10,0.13,199428.91,2074.10,23.88,7245.78,12.52,,3985.03,190.29,,,,,13531.59,7769.05,21300.64,118.46,17919.43,4022.45,104.12,299.63,,,,,243193.62,,,,,,22.51,1.64,40535.79,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3,3,2023,1
53153.00,0.00,8137.00,19044.00,1393.00,,156721.00,,10520.00,116.00,,7993.00,,6512.00,5911.00,7750.00,277250.00,122.00,14.00,143.00,3383.00,,3414.00,1167.00,7018.00,,420.00,,15681.00,13491.00,29172.00,,25920.00,12669.00,1019.00,223.00,,,,,346253.00,,,,,,24.10,2.50,58310.11,2,6,683,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16197,P,3,3,2023,1
56595.00,0.00,2621.00,4308.00,7.00,0.00,117898.00,4.00,7400.00,4.00,316.00,14982.00,0.00,2931.00,0.00,160.00,207226.00,3557.00,1354.00,6830.00,13148.00,0.00,9905.00,4093.00,0.00,0.00,0.00,0.00,38887.00,15262.00,54149.00,344.00,12838.00,6515.00,331.00,824.00,0.00,,1651.00,0.00,283878.00,,,,,,38.35,5.24,39929.28,1,6,694,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
57530.95,0.00,0.00,2083.17,480.31,,138043.75,178.47,13020.31,51.90,1267.18,17790.00,0.00,5915.17,1706.89,147.02,238215.12,11519.77,0.00,12042.66,0.00,,7078.21,29445.28,0.00,,0.00,,60085.93,17327.00,77412.93,,10484.66,1865.23,538.09,,,,299.97,,328816.01,,,,,,26.83,4.77,40228.19,2,6,626,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2023,1
57952.02,0.00,583.85,1285.40,152.62,0.00,145008.08,0.00,26067.93,27.75,1219.07,10489.20,0.00,4298.16,4095.45,0.00,251179.52,10949.00,0.00,3178.34,1671.00,0.00,2484.81,6917.76,0.00,0.00,0.00,0.00,25200.91,0.00,25200.91,0.00,13432.98,1209.36,200.45,0.00,0.00,,5026.14,,296249.35,,,,,,49.93,5.36,43517.13,1,6,694,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2023,1
58282.23,0.00,587.17,1292.73,153.49,0.00,145834.33,0.00,26216.46,27.91,1226.01,10548.97,0.00,4322.65,4118.79,0.00,252610.74,11011.38,0.00,3196.45,1680.52,0.00,2498.97,6957.17,0.00,0.00,0.00,0.00,25344.50,0.00,25344.50,0.00,13509.52,1216.25,201.60,0.00,0.00,,5054.78,,297937.38,,,,,,50.21,5.39,43765.09,1,6,722,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2023,1
58795.00,0.00,2751.00,4523.00,7.00,0.00,114655.00,4.00,7768.00,5.00,331.00,15727.00,0.00,3077.00,0.00,168.00,207811.00,3735.00,1421.00,7170.00,13802.00,0.00,10398.00,4296.00,0.00,0.00,0.00,0.00,40822.00,16022.00,56844.00,362.00,13478.00,6840.00,347.00,865.00,0.00,,1734.00,0.00,288281.00,,,,,,40.26,5.43,38831.06,1,6,614,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
59001.40,0.00,18993.09,8472.11,0.00,0.00,0.00,0.00,32083.75,0.00,0.00,4043.48,0.00,6946.13,0.00,0.00,129539.97,11533.72,356.71,10632.34,281.15,0.00,3027.20,1516.85,0.00,0.00,0.00,12877.58,40225.54,14730.49,54956.04,1279.75,0.00,0.00,6.63,0.00,0.00,,0.00,,185782.38,,,,,,62.25,28.66,39439.49,1,6,673,20398,MQ,Envoy Air,MQ,Envoy Air,06820,D,3,3,2023,1
59437.30,0.00,2917.77,4441.88,67.03,0.00,180729.91,0.00,355.80,2.56,96.45,23048.04,0.00,5996.28,2887.21,14754.28,294734.49,6357.89,0.00,4526.08,1826.79,0.00,595.17,59.29,0.00,0.00,0.00,0.00,13365.22,10919.42,24284.64,14.76,8565.18,2132.85,0.00,58.11,889.60,,0.00,,330679.62,,,,,,56.17,4.91,53115.25,1,6,699,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2023,1
60652.92,,3771.95,6801.42,,,70367.40,,7566.06,,,12381.77,,4969.78,5000.37,,171511.68,5531.62,55.29,1791.48,353.20,,4454.31,91.30,,,,,12277.20,14467.62,26744.82,139.32,11951.22,4894.24,275.06,443.74,,,,,215960.08,,,,,,33.04,3.12,21257.93,1,6,838,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
